"Date Printed: Tuesday, June 6, 2023 11:21:49 AM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Asian | Black/African American | Hispanic/Latino | White | Female | Male | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","27","30.7","88,057"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","93","15.6","597,351"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","305","60.5","503,832"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","1","2.9","33,928"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","6.8","29,302"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","27","1.9","1,424,114"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","125","9.3","1,338,439"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","5","6.9","72,195"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","11","13.3","82,832"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","98","16.8","584,957"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","351","71.9","488,184"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","32,958"
"HIV diagnoses","2019","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","1","3.5","28,303"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","19","1.3","1,420,151"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","110","8.2","1,336,105"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","1.4","69,473"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","16","19.8","80,923"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","89","15.3","582,464"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","346","71.1","486,700"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","32,233"
"HIV diagnoses","2018","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","7.2","27,713"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","29","2.0","1,418,583"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","145","10.9","1,335,580"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","4","6.0","66,742"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","18","22.9","78,691"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","99","17.1","579,339"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","320","65.9","485,740"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","31,545"
"HIV diagnoses","2017","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","7.4","27,187"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","29","2.0","1,417,601"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","141","10.6","1,336,140"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","4","6.2","64,695"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","19","24.7","76,957"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","100","17.4","575,841"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","315","65.0","484,699"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","1","3.3","30,536"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","7.6","26,302"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","30","2.1","1,416,947"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","134","10.0","1,336,704"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","4","6.4","62,529"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","27","35.8","75,493"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","99","17.3","572,951"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","327","67.7","482,786"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","1","3.4","29,417"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","3","11.9","25,313"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","24","1.7","1,417,533"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","120","9.0","1,337,667"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","5","8.2","61,064"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","19","25.4","74,832"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","91","16.0","568,991"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","363","75.8","479,110"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","28,441"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","24,414"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","24","1.7","1,415,526"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","119","8.9","1,335,976"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","1.7","59,852"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","22","29.5","74,636"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","107","19.0","564,378"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","310","65.3","474,918"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","27,427"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","8.5","23,642"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","20","1.4","1,413,132"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","145","10.9","1,332,889"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","3.4","58,525"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","17","22.8","74,688"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","107","19.1","558,766"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","319","68.1","468,753"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","26,247"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","8.8","22,726"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","21","1.5","1,410,209"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","128","9.6","1,329,566"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","4","7.0","57,419"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","22","29.2","75,405"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","123","22.2","553,630"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","339","73.1","463,436"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","24,666"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","9.4","21,384"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","29","2.1","1,408,006"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","116","8.7","1,326,892"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","3","5.4","55,937"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","19","25.1","75,820"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","141","25.7","548,954"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","329","71.6","459,817"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","23,626"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","20,811"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","30","2.1","1,399,409"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","112","8.5","1,315,323"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","5","11.5","43,527"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","14","24.9","56,117"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","118","21.8","540,093"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","354","78.1","453,317"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","1","4.8","20,689"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","2","11.1","18,055"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","29","2.1","1,394,141"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","107","8.2","1,308,875"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","4","9.8","40,903"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","21","39.6","53,081"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","164","30.6","536,698"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","311","69.2","449,229"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","19,786"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","1","5.8","17,311"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","0","0.0","173,489"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","13","6.5","200,561"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","18,900"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","4","18.4","21,780"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","12.2","8,220"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","1","8.5","11,717"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","21,280"
"HIV diagnoses","2021","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","1","5.3","18,785"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","1","0.6","173,729"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","8","4.0","200,656"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","5.4","18,500"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","14.1","21,244"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,231"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","1","8.6","11,680"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","21,309"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","1","5.4","18,675"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","1","0.6","176,049"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","11","5.5","200,666"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","5.5","18,335"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","14.2","21,068"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","2","23.7","8,434"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","25.6","11,717"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","21,430"
"HIV diagnoses","2019","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","18,540"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","1","0.6","177,302"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","6","3.0","202,097"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","5.5","18,133"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","0","0.0","20,755"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,498"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","1","8.4","11,847"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","21,274"
"HIV diagnoses","2018","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","18,399"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","2","1.1","178,667"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","7","3.4","204,495"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","18,028"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","14.6","20,598"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","11.7","8,517"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","25.2","11,910"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","21,279"
"HIV diagnoses","2017","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","18,417"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","0","0.0","180,091"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","9","4.3","206,931"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","5.7","17,632"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","14.9","20,097"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","11.9","8,407"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","25.1","11,962"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","1","4.8","20,641"
"HIV diagnoses","2016","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","2","11.2","17,911"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","0","0.0","180,394"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","8","3.9","207,430"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","17,124"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","15.3","19,624"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,255"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","25.5","11,785"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","1","5.0","19,889"
"HIV diagnoses","2015","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","17,295"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","1","0.6","181,246"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","12","5.8","208,057"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","16,818"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","15.7","19,102"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","12.0","8,304"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","5","42.6","11,734"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","19,306"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","16,929"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","3","1.6","182,692"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","5","2.4","209,424"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","6.1","16,265"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","1","5.4","18,460"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","8,387"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","5","42.7","11,701"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","1","5.3","18,970"
"HIV diagnoses","2013","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","2","12.1","16,572"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","2","1.1","183,021"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","8","3.8","208,204"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","15,651"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","3","17.5","17,173"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","12.1","8,290"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","26.4","11,368"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","2","11.0","18,218"
"HIV diagnoses","2012","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","1","6.3","15,784"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","0","0.0","182,689"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","7","3.4","206,696"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","13.7","14,625"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","2","12.7","15,801"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","0","0.0","7,935"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","4","37.5","10,660"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","17,597"
"HIV diagnoses","2011","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","15,073"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","3","1.7","181,505"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","10","4.9","205,999"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","1","7.2","13,870"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","5","33.7","14,830"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","3","38.8","7,737"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","2","19.4","10,326"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","16,980"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","1","6.9","14,442"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","1","0.6","180,990"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","White","Male","All transmission categories","5","2.5","201,579"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","0","0.0","14,424"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","1","6.0","16,586"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Black/African American","Female","All transmission categories","1","10.8","9,230"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Black/African American","Male","All transmission categories","3","27.3","10,984"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Asian","Female","All transmission categories","2","13.5","14,847"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","Asian","Male","All transmission categories","0","0.0","12,825"
"HIV diagnoses","2008","Alaska","02","Ages 13 years and older","White","Female","All transmission categories","2","1.1","177,828"
